Position,MAN City (Team 1),Inter Milan (Team 2),Team 1 (matches_played),Team 2 (matches_played),Team 1 (Mins Played),Team 2 (Mins Played,Team 1 (Goals),Team 2 (Goals),Team 1 (Assists),Team 2 (Assists),Team 1 (No. of attempts),Team 2 (No. of attempts),Team 1 (Attempts_onTarget),Team 2 (Attempts_onTarget),Team 1 (Tackles),Team 2 (Tackles),Team 1 (Tackles_won),Team 2 (Tackles_won),Team 1 (Balls Recovered),Team 2 (Balls Recovered),Team 1 (Number_of_saves),Team 2 (Number_of_saves),Team 1 (clean_sheets),Team 2 (clean_sheets),Team 1 (Top_speed (km/hr)),Team 2 (Top_speed (km/hr),Team 1 (passing accuracy),Team 2 (passing accuracy),Result
3,Riyad Mahrez,Robin Gosens,9,10,506,404,3,1,2,0,12,3,7,3,2,17,0,10,5,15,0,0,0,0,31.4,32.3,86,74.7,1
3,Riyad Mahrez,Kristjan Asllani,9,5,506,125,3,0,2,0,12,1,7,1,2,1,0,0,5,6,0,0,0,0,31.4,29.9,86,70.8,1
3,Riyad Mahrez,Hakan Çalhano?lu,9,11,506,723,3,1,2,2,12,12,7,4,2,15,0,4,5,40,0,0,0,0,31.4,32,86,90.19,1
3,Riyad Mahrez,Henrikh Mkhitaryan,9,12,506,903,3,2,2,0,12,15,7,8,2,14,0,5,5,48,0,0,0,0,31.4,32.5,86,84.17,0
3,Riyad Mahrez,Nicolò Barella,9,11,506,907,3,3,2,0,12,17,7,5,2,16,0,8,5,32,0,0,0,0,31.4,33.71,86,79.91,1
3,Riyad Mahrez,Marcelo Brozovi?,9,8,506,456,3,0,2,0,12,3,7,0,2,9,0,6,5,37,0,0,0,0,31.4,31,86,90.38,1
3,Riyad Mahrez,Valentin Carboni*,9,1,506,14,3,0,2,0,12,0,7,0,2,0,0,0,5,0,0,0,0,0,31.4,26.6,86,50,1
3,Bernardo Silva,Roberto Gagliardini,12,6,819,112,3,0,1,0,7,1,5,1,18,3,5,0,33,7,0,0,0,0,31.4,30,91.09,93.17,0
3,Bernardo Silva,Robin Gosens,12,10,819,404,3,1,1,0,7,3,5,3,18,17,5,10,33,15,0,0,0,0,31.4,32.3,91.09,74.7,1
3,Bernardo Silva,Kristjan Asllani,12,5,819,125,3,0,1,0,7,1,5,1,18,1,5,0,33,6,0,0,0,0,31.4,29.9,91.09,70.8,1
3,Bernardo Silva,Hakan Çalhano?lu,12,11,819,723,3,1,1,2,7,12,5,4,18,15,5,4,33,40,0,0,0,0,31.4,32,91.09,90.19,1
3,Bernardo Silva,Henrikh Mkhitaryan,12,12,819,903,3,2,1,0,7,15,5,8,18,14,5,5,33,48,0,0,0,0,31.4,32.5,91.09,84.17,1
3,Bernardo Silva,Nicolò Barella,12,11,819,907,3,3,1,0,7,17,5,5,18,16,5,8,33,32,0,0,0,0,31.4,33.71,91.09,79.91,1
3,Bernardo Silva,Marcelo Brozovi?,12,8,819,456,3,0,1,0,7,3,5,0,18,9,5,6,33,37,0,0,0,0,31.4,31,91.09,90.38,1
